year,cwc_damage_usd,cwc_deaths,emdat_damage_usd,emdat_deaths
2000,3600401810.9154687,2606,1696651000.0,1930.0
2001,2672146097.34039,1444,658050000.0,538.0
2002,935250410.0014411,1002,90872000.0,582.0
2003,4197543518.939037,2166,295765000.0,67.0
2004,1214986435.7258298,1813,4731564000.0,1110.0
2005,2709643333.3333335,1455,10204362000.0,1553.0
2006,6798106343.687586,1431,5413848000.0,350.0
2007,4866092494.549308,3389,584054000.0,124.0
2008,3212002255.105756,2876,216820000.0,1147.0
2009,9833909328.013968,1513,3652560000.0,1417.0
2010,6144803342.941074,1582,3172841000.0,456.0
2011,2346516400.987056,1761,2371572000.0,378.0
2012,2800266572.0476003,933,342144000.0,122.0
2013,10880138581.25189,2180,1882262000.0,6300.0
2014,3377395465.710715,1968,22391131000.0,502.0
2015,11810599037.239294,1420,3911938000.0,450.0
2016,1103817378.9685597,1420,2010741000.0,595.0
2017,6028295881.317606,2063,2780492000.0,812.0
2018,3351311192.0765724,1839,3673180000.0,531.0
2019,2764832185.360792,2754,12592748000.0,1900.0
2020,1857499503.9836257,1474,14317633000.0,2103.0
2021,9153660416.297228,1371,3801965000.0,1341.0
2022,3727967560.8580103,1673,4620325000.0,2035.0
