year,subtype,deaths,damage_adj_000usd,damage_adj_usd,exposure_factor,loss_normalized
2019,Flood (General),1900.0,12592748.0,12592748000.0,1.5564356295932418,19599801661.689037
2018,Flood (General),12.0,3205.0,3205000.0,1.7004246687497868,5449861.063343067
2016,Flood (General),254.0,469486.0,469486000.0,2.0295972344304753,952867487.2038262
2016,Flash flood,61.0,134139.0,134139000.0,2.0295972344304753,272248143.42926955
2015,Riverine flood,81.0,820420.0,820420000.0,2.2173594200961935,1819166015.435319
2014,Riverine flood,95.0,221667.0,221667000.0,2.422491869067311,536986505.1405436
2014,Riverine flood,298.0,21758767.0,21758767000.0,2.422491869067311,52710436138.43013
2014,Riverine flood,27.0,2720.0,2720000.0,2.422491869067311,6589177.883863086
2013,Riverine flood,174.0,2764.0,2764000.0,2.646601539881454,7315206.656232339
2012,Riverine flood,30.0,154245.0,154245000.0,2.891444054092822,445990788.1235474
2023,Flash flood,62.0,3170.0,3170000.0,1.092512042527692,3463263.1748127835
2005,Riverine flood,19.0,192877.0,192877000.0,5.371535165982837,1036045588.2092717
2007,Riverine flood,44.0,157058.0,157058000.0,4.500346546765598,706815427.9419112
2008,Flood (General),37.0,2991.0,2991000.0,4.119264934007834,12320721.41761743
2008,Riverine flood,47.0,29906.0,29906000.0,4.119264934007834,123190737.11643828
2009,Riverine flood,70.0,96041.0,96041000.0,3.7704526574162895,362118043.67091787
2000,Riverine flood,867.0,80392.0,80392000.0,8.360448717948735,672113193.3333347
2001,Riverine flood,100.0,163638.0,163638000.0,7.6525002860431375,1252239841.8075268
2001,Flood (General),158.0,47273.0,47273000.0,7.6525002860431375,361756646.02211726
2002,Riverine flood,33.0,35796.0,35796000.0,7.004499710902884,250733071.65147963
2000,Flash flood,179.0,323439.0,323439000.0,8.360448717948735,2704095172.8846207
2000,Riverine flood,884.0,1292820.0,1292820000.0,8.360448717948735,10808555311.538483
2001,Flood (General),146.0,187275.0,187275000.0,7.6525002860431375,1433121991.0687287
2005,Riverine flood,1200.0,5489584.0,5489584000.0,5.371535165982837,29487493502.616726
2005,Riverine flood,89.0,692380.0,692380000.0,5.371535165982837,3719143518.2231965
2006,Riverine flood,350.0,5413848.0,5413848000.0,4.916682797889328,26618173331.98754
2009,Riverine flood,355.0,3226378.0,3226378000.0,3.7704526574162895,12164905503.929453
2012,Riverine flood,21.0,137418.0,137418000.0,2.891444054092822,397336459.02532744
2012,Riverine flood,26.0,22436.0,22436000.0,2.891444054092822,64872438.797626555
2013,Riverine flood,72.0,359316.0,359316000.0,2.646601539881454,950966278.9040446
2016,Flood (General),18.0,201208.0,201208000.0,2.0295972344304753,408371200.3452871
2016,Flood (General),184.0,214622.0,214622000.0,2.0295972344304753,435596217.6479375
2016,Flood (General),28.0,790078.0,790078000.0,2.0295972344304753,1603540123.7843611
2017,Flood (General),514.0,2058116.0,2058116000.0,1.8577344280203036,3823432950.0594354
2021,Flood (General),1282.0,3683154.0,3683154000.0,1.3040033239028905,4802845058.446227
2022,Flood (General),2035.0,4620325.0,4620325000.0,1.1935825630680295,5514739355.7072935
2001,Riverine flood,86.0,212591.0,212591000.0,7.6525002860431375,1626852688.3101966
2002,Riverine flood,549.0,55076.0,55076000.0,7.004499710902884,385779826.07768726
2003,Riverine flood,67.0,295765.0,295765000.0,6.411370711023848,1896259058.3459682
2004,Riverine flood,900.0,4261135.0,4261135000.0,5.868466855697234,25006329515.151432
2004,Riverine flood,210.0,470429.0,470429000.0,5.868466855697234,2760696994.458794
2005,Riverine flood,239.0,3791605.0,3791605000.0,5.371535165982837,20366739593.016354
2008,Flash flood,1063.0,183923.0,183923000.0,4.119264934007834,757627564.4575229
2009,Riverine flood,992.0,330141.0,330141000.0,3.7704526574162895,1244781010.7720714
2010,Riverine flood,53.0,659963.0,659963000.0,3.4511772050519247,2277649261.7776833
2010,Riverine flood,200.0,2480397.0,2480397000.0,3.4511772050519247,8560289585.879179
2012,Riverine flood,45.0,28045.0,28045000.0,2.891444054092822,81090548.4970332
2015,Flood (General),325.0,2988286.0,2988286000.0,2.2173594200961935,6626104112.041574
2016,Flash flood,50.0,201208.0,201208000.0,2.0295972344304753,408371200.3452871
2017,Flash flood,14.0,394023.0,394023000.0,1.8577344280203036,731990092.5318441
2018,Flash flood,15.0,12821.0,12821000.0,1.7004246687497868,21801144.67804102
2018,Flash flood,504.0,3657154.0,3657154000.0,1.7004246687497868,6218714879.016958
2020,Flood (General),29.0,12439.0,12439000.0,1.4246393348600463,17721088.686324116
2020,Flood (General),1922.0,9329474.0,9329474000.0,1.4246393348600463,13291135633.954096
2021,Flood (General),59.0,118811.0,118811000.0,1.3040033239028905,154929938.91622633
2020,Flood (General),152.0,4975720.0,4975720000.0,1.4246393348600463,7088606431.24983
2025,Flood (General),32.0,2200.0,2200000.0,0.9153217182726413,2013707.7801998109
2001,Flash flood,48.0,47273.0,47273000.0,7.6525002860431375,361756646.02211726
2005,Riverine flood,6.0,37916.0,37916000.0,5.371535165982837,203667127.35340524
2007,Coastal flood,80.0,426996.0,426996000.0,4.500346546765598,1921629974.0827231
2010,Riverine flood,203.0,32481.0,32481000.0,3.4511772050519247,112097686.79729156
2011,Riverine flood,47.0,393592.0,393592000.0,3.1589374493914995,1243332508.580899
2011,Riverine flood,239.0,1331057.0,1331057000.0,3.1589374493914995,4204725804.5747013
2011,Riverine flood,42.0,618298.0,618298000.0,3.1589374493914995,1953164707.0838654
2011,Riverine flood,50.0,28625.0,28625000.0,3.1589374493914995,90424584.48883167
2013,Riverine flood,6054.0,1520182.0,1520182000.0,2.646601539881454,4023316022.1000686
2014,Riverine flood,35.0,271985.0,271985000.0,2.422491869067311,658881451.0082725
2014,Riverine flood,47.0,135992.0,135992000.0,2.422491869067311,329439514.2582018
2015,Flash flood,44.0,103232.0,103232000.0,2.2173594200961935,228902447.65537024
2017,Flood (General),284.0,328353.0,328353000.0,1.8577344280203036,609992672.6437508
